Frequency_(MHz),VSWR_Test_1,VSWR_Test_2,VSWR_Test_3,VSWR_Test_4,VSWR_Test_5,VSWR_Test_6,VSWR_Test_7,VSWR_Test_8,VSWR_Test_9,VSWR_Test_10,VSWR_Test_11,VSWR_Test_12,VSWR_Test_13,VSWR_Test_14,VSWR_Test_15,VSWR_Test_16,VSWR_Test_17,VSWR_Test_18,VSWR_Test_19
62660.00,1.54,1.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.17,6.32,6.10,5.94,5.55
65793.00,1.61,1.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.72,8.47,8.38,6.42,8.24
69082.00,1.39,1.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.23,7.23,7.28,7.20,7.36
72536.00,1.33,1.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.42,6.41,6.40,6.11,6.17
76163.00,1.60,1.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.04,10.06,9.93,9.99,10.06
79971.00,1.47,1.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.32,9.21,9.29,8.96,8.96
83970.00,1.23,1.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.09,6.06,6.03,6.08,6.08
88168.00,1.52,1.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.75,9.70,9.82,9.76,9.85
92577.00,1.41,1.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.34,8.40,8.29,8.30,8.30
97206.00,1.31,1.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.47,6.21,6.60,6.49,6.52
100000.00,1.51,1.51,0.00,0.00,10.23,9.98,0.00,10.63,11.29,10.70,10.10,10.11,10.01,9.29,9.34,9.74,9.97,9.59,10.31
102000.00,1.52,1.52,0.00,0.00,8.57,8.72,9.97,10.00,9.91,10.00,9.10,8.96,9.02,8.04,7.87,8.88,9.19,8.30,9.60
104040.00,1.44,1.44,0.00,0.00,5.94,5.94,8.55,8.52,8.47,8.46,7.66,7.17,7.45,5.96,5.62,7.31,7.84,6.12,7.87
106121.00,1.30,1.30,0.00,0.00,3.62,3.61,6.86,6.77,6.79,6.72,6.00,5.56,5.85,3.94,3.55,5.79,6.35,4.15,6.31
108243.00,1.29,1.29,0.00,0.00,3.46,3.46,6.37,6.26,6.38,6.26,5.21,4.83,5.02,2.75,2.54,5.25,5.93,3.00,5.91
110408.00,1.45,1.45,0.00,0.00,5.23,5.28,8.11,8.21,8.05,8.14,5.16,4.35,5.10,3.17,3.24,5.99,7.21,2.12,7.49
112616.00,1.56,1.56,0.00,0.00,7.74,7.81,8.96,8.86,8.55,8.55,3.84,2.93,4.03,4.68,4.73,5.87,7.35,2.23,7.03
114869.00,1.50,1.50,0.00,0.00,7.82,7.83,6.35,6.18,5.83,5.64,2.39,1.72,2.58,5.33,5.48,3.99,5.00,2.78,4.00
117166.00,1.33,1.33,0.00,0.00,6.34,6.32,4.53,4.30,4.05,3.94,1.71,1.82,1.88,5.06,5.22,2.35,3.22,3.47,2.48
119509.00,1.27,1.27,0.00,0.00,5.49,5.54,3.45,3.38,3.03,3.03,2.60,2.89,2.76,4.53,4.42,2.76,1.81,3.64,3.28
121899.00,1.50,1.50,0.00,0.00,8.36,8.35,1.92,1.92,1.70,1.69,4.38,4.52,4.60,4.50,5.44,1.97,3.20,4.94,2.09
124337.00,1.70,1.70,0.00,0.00,9.19,9.06,1.77,1.74,1.89,1.87,7.31,6.78,7.61,8.68,9.37,1.44,1.03,7.53,1.77
126824.00,1.65,1.65,0.00,0.00,1.10,1.09,4.03,3.97,3.95,3.85,7.15,4.48,8.09,9.04,9.52,2.25,2.87,8.55,3.66
129361.00,1.38,1.38,0.00,0.00,4.14,4.13,4.38,4.32,4.34,4.28,5.26,4.65,5.33,5.17,5.35,2.65,3.55,5.31,3.96
131948.00,1.30,1.30,0.00,0.00,3.80,3.80,3.49,3.48,3.68,3.68,4.23,3.47,3.90,3.64,4.79,2.63,3.19,3.48,3.15
134587.00,1.60,1.60,0.00,0.00,3.93,2.91,3.67,3.53,4.61,4.59,2.78,2.29,6.47,2.47,3.30,2.82,2.35,2.89,2.25
137279.00,1.84,1.84,0.00,0.00,9.08,9.14,7.55,7.34,8.67,8.62,2.78,5.91,12.22,3.30,2.50,3.10,2.79,6.06,3.69
140024.00,1.61,1.61,0.00,0.00,5.79,5.88,5.38,5.34,6.15,6.24,2.14,5.72,6.06,4.25,3.78,5.03,4.86,3.58,5.21
142825.00,1.36,1.36,0.00,0.00,4.10,4.08,3.47,3.41,4.08,4.08,3.15,3.73,3.11,4.38,4.29,3.91,3.83,4.32,3.85
145681.00,1.52,1.52,0.00,0.00,6.11,5.90,3.09,3.05,4.15,4.15,3.75,2.85,1.42,5.73,5.76,4.14,4.18,5.41,4.01
148595.00,1.80,1.80,0.00,0.00,13.80,13.02,1.92,2.00,3.55,3.66,7.89,6.28,5.01,10.94,11.00,4.41,5.71,7.92,3.64
