Frequency_(MHz),VSWR_FCA_1,VSWR_FCA_2,VSWR_FCA_3,VSWR_FCA_4,VSWR_FCA_5,VSWR_FCA_6,VSWR_FCA_7,VSWR_FCA_9,VSWR_FCA_10,VSWR_FCA_11,VSWR_FCA_12,VSWR_FCA_13,VSWR_FCA_14,VSWR_FCA_15
54,1.52,3.64,0,1.53,1.53,0,0,0,0,0,0,0,0,0
56,1.51,4.48,0,1.51,1.52,0,0,0,0,0,0,0,0,0
58,1.44,3.41,0,1.45,1.45,0,0,0,0,0,0,0,0,0
60,1.36,3.16,0,1.37,1.37,0,0,0,0,0,0,0,0,0
62,1.32,3.25,0,1.32,1.33,0,0,0,0,0,0,0,0,0
64,1.34,3.27,0,1.34,1.34,0,0,0,0,0,0,0,0,0
66,1.41,3.74,0,1.41,1.41,0,0,0,0,0,0,0,0,0
68,1.48,4,0,1.47,1.47,0,0,0,0,0,0,0,0,0
70,1.5,4.19,0,1.5,1.5,0,0,0,0,0,0,0,0,0
72,1.46,3.82,0,1.46,1.46,0,0,0,0,0,0,0,0,0
74,1.37,2.87,0,1.38,1.38,0,0,0,0,0,0,0,0,0
76,1.26,3.66,0,1.27,1.28,0,0,0,0,0,0,0,0,0
78,1.21,2.7,0,1.21,1.21,0,0,0,0,0,0,0,0,0
80,1.26,2.79,0,1.25,1.25,0,0,0,0,0,0,0,0,0
82,1.36,2.99,0,1.35,1.35,0,0,0,0,0,0,0,0,0
84,1.44,4.48,0,1.43,1.44,0,0,0,0,0,0,0,0,0
86,1.48,5.62,0,1.48,1.49,0,0,0,0,0,0,0,0,0
88,1.45,6.07,0,1.46,1.47,0,0,0,0,0,0,0,0,0
90,1.37,5.26,0,1.39,1.39,0,0,0,0,0,0,0,0,0
92,1.27,4.36,0,1.29,1.29,0,0,0,0,0,0,0,0,0
94,1.2,3.6,0,1.21,1.21,0,0,0,0,0,0,0,0,0
96,1.22,3.84,0,1.22,1.22,0,0,0,0,0,0,0,0,0
98,1.31,4.91,0,1.3,1.3,0,0,0,0,0,0,0,0,0
100,1.38,4.34,0,1.38,1.38,0,0,0,0,0,0,0,0,0
105,1.35,4.06,0,1.37,1.37,0,0,0,0,0,0,0,0,0
110,1.23,2.52,0,1.23,1.23,0,0,0,0,0,0,0,0,0
115,1.46,3.79,0,1.45,1.46,0,0,0,0,0,0,0,0,0
120,1.45,3.4,0,1.46,1.46,0,0,0,0,0,0,0,0,0
125,1.2,1.56,0,1.2,1.21,0,0,0,0,0,0,0,0,0
130,1.47,3.47,0,1.45,1.45,0,0,0,0,0,0,0,0,0
135,1.55,3.44,0,1.55,1.55,0,0,0,0,0,0,0,0,0
140,1.28,2.53,0,1.28,1.28,0,0,0,0,0,0,0,0,0
145,1.48,3.11,0,1.45,1.46,0,0,0,0,0,0,0,0,0
150,1.62,5.34,0,1.6,1.61,0,0,0,0,0,0,0,0,0
155,1.38,3.3,0,1.35,1.36,0,0,0,0,0,0,0,0,0
160,1.55,4.77,0,1.5,1.51,0,0,0,0,0,0,0,0,0
165,1.71,6.35,0,1.67,1.68,0,0,0,0,0,0,0,0,0
170,1.4,3.86,0,1.37,1.38,0,0,0,0,0,0,0,0,0
175,1.6,4.53,0,1.54,1.55,0,0,0,0,0,0,0,0,0
180,1.92,3.87,0,1.85,1.86,0,0,0,0,0,0,0,0,0
185,1.59,2.51,0,1.53,1.54,0,0,0,0,0,0,0,0,0
190,1.58,2.1,0,1.51,1.52,0,0,0,0,0,0,0,0,0
195,2,2.24,0,1.9,1.92,0,0,0,0,0,0,0,0,0
200,1.78,3.57,0,1.7,1.71,0,0,0,0,0,0,0,0,0
205,1.66,3.78,0,1.58,1.59,0,0,0,0,0,0,0,0,0
210,2.07,4.77,0,1.95,1.96,0,0,0,0,0,0,0,0,0
215,1.9,3.14,0,1.8,1.82,0,0,0,0,0,0,0,0,0
220,1.71,2.24,0,1.62,1.63,0,0,0,0,0,0,0,0,0
225,2.21,4.29,0,2.06,2.07,0,0,0,0,0,0,0,0,0
230,2.17,2.84,0,2.05,2.06,0,0,0,0,0,0,0,0,0
235,1.8,2.5,0,1.7,1.71,0,0,0,0,0,0,0,0,0
240,2.22,2.63,0,2.06,2.08,0,0,0,0,0,0,0,0,0
245,2.41,3.18,0,2.29,2.3,0,0,0,0,0,0,0,0,0
250,2.01,2.19,0,1.93,1.94,0,0,0,0,0,0,0,0,0
255,2.27,2.19,0,2.16,2.17,0,0,0,0,0,0,0,0,0
260,2.6,2.73,0,2.51,2.53,0,0,0,0,0,0,0,0,0
265,2.15,3.33,0,2.1,2.12,0,0,0,0,0,0,0,0,0
270,2.29,3.56,0,2.22,2.24,0,0,0,0,0,0,0,0,0
275,2.88,5.86,0,2.83,2.84,0,0,0,0,0,0,0,0,0
280,2.5,5.4,0,2.48,2.5,0,0,0,0,0,0,0,0,0
285,2.33,5.24,0,2.3,2.32,0,0,0,0,0,0,0,0,0
290,2.98,7.24,0,2.94,2.95,0,0,0,0,0,0,0,0,0
295,2.88,5.76,0,2.85,2.87,0,0,0,0,0,0,0,0,0
300,2.55,5.38,0,2.5,2.52,0,0,0,0,0,0,0,0,0
305,3.11,7.72,0,3.01,3.04,0,0,0,0,0,0,0,0,0
310,3.18,5.89,0,3.06,3.09,0,0,0,0,0,0,0,0,0
315,2.69,4.98,0,2.58,2.6,0,0,0,0,0,0,0,0,0
320,3.25,7.35,0,3.07,3.1,0,0,0,0,0,0,0,0,0
325,3.72,7.93,0,3.48,3.51,0,0,0,0,0,0,0,0,0
330,2.98,5.24,0,2.81,2.83,0,0,0,0,0,0,0,0,0
335,3.15,6.41,0,2.94,2.95,0,0,0,0,0,0,0,0,0
340,3.89,8.71,0,3.59,3.63,0,0,0,0,0,0,0,0,0
345,3.35,6.77,0,3.15,3.19,0,0,0,0,0,0,0,0,0
350,3.23,6.05,0,3.03,3.04,0,0,0,0,0,0,0,0,0
355,4,7.88,0,3.73,3.76,0,0,0,0,0,0,0,0,0
360,3.52,6.11,0,3.39,3.4,0,0,0,0,0,0,0,0,0
365,3.19,5.8,0,3.07,3.09,0,0,0,0,0,0,0,0,0
370,4.12,8.19,0,3.97,4,0,0,0,0,0,0,0,0,0
375,3.94,7.11,0,3.88,3.91,0,0,0,0,0,0,0,0,0
380,3.16,5.29,0,3.14,3.17,0,0,0,0,0,0,0,0,0
385,3.87,7.75,0,3.84,3.84,0,0,0,0,0,0,0,0,0
390,4.21,8.56,0,4.25,4.28,0,0,0,0,0,0,0,0,0
395,3.37,5.81,0,3.43,3.43,0,0,0,0,0,0,0,0,0
400,3.7,6.47,0,3.73,3.73,0,0,0,0,0,0,0,0,0
