Frequency_(MHz),VSWR_Test_1,VSWR_Test_1a,VSWR_Test_2,VSWR_Test_3,VSWR_Test_4,VSWR_Test_5,VSWR_Test_6,VSWR_Test_7,VSWR_Test_8,VSWR_Test_9,VSWR_Test_10,VSWR_Test_11,VSWR_Test_12,VSWR_Test_13,VSWR_Test_14,VSWR_Test_15,VSWR_Test_16
162.79,0.00,0.00,1.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.22,3.61,4.19,4.65,0.00,0.00
167.37,0.00,0.00,1.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.50,3.53,3.83,4.21,0.00,0.00
172.07,0.00,0.00,1.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.21,3.05,2.76,3.03,0.00,0.00
176.91,0.00,0.00,2.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.59,4.16,4.22,4.81,0.00,0.00
181.89,0.00,0.00,1.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.23,6.77,7.03,8.27,0.00,0.00
187.00,0.00,0.00,1.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.05,3.51,3.84,4.22,0.00,0.00
192.26,0.00,0.00,2.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.89,6.49,5.97,6.78,0.00,0.00
197.66,0.00,0.00,2.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.45,10.28,9.62,11.65,0.00,0.00
203.22,0.00,0.00,1.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.65,4.80,4.43,4.95,0.00,0.00
208.93,0.00,0.00,2.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.09,5.45,4.62,5.17,0.00,0.00
214.81,0.00,0.00,2.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.25,10.01,8.22,9.66,0.00,0.00
220.85,0.00,0.00,1.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.17,1.99,1.90,2.00,0.00,0.00
227.05,0.00,0.00,2.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,47.44,2.80,2.26,2.48,0.00,0.00
233.44,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.24,7.28,6.27,7.05,0.00,0.00
240.00,0.00,0.00,2.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.62,7.51,7.19,8.43,0.00,0.00
246.75,0.00,0.00,2.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.06,7.06,5.90,6.76,0.00,0.00
253.68,0.00,0.00,3.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.70,19.31,14.66,19.51,0.00,0.00
260.82,0.00,0.00,2.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.23,9.46,8.06,9.65,0.00,0.00
268.15,0.00,0.00,3.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.97,28.45,16.50,21.69,0.00,0.00
275.69,0.00,0.00,3.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.01,16.49,12.65,17.55,0.00,0.00
283.44,0.00,0.00,3.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,57.39,8.60,4.38,4.90,0.00,0.00
291.41,0.00,0.00,4.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.36,4.80,9.01,11.09,0.00,0.00
299.60,0.00,0.00,3.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,5.26,5.14,5.81,0.00,0.00
308.02,0.00,0.00,5.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.89,15.70,13.84,18.08,0.00,0.00
316.68,0.00,0.00,3.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.73,11.19,7.68,8.99,0.00,0.00
325.59,0.00,0.00,5.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.32,10.78,12.88,0.00,0.00
334.74,0.00,0.00,5.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,10.76,13.05,0.00,0.00
344.15,0.00,0.00,5.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.54,7.17,8.23,0.00,0.00
353.82,0.00,0.00,5.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.45,10.14,12.02,0.00,0.00
363.77,0.00,0.00,7.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.75,10.36,11.95,0.00,0.00
374.00,0.00,0.00,5.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.94,8.35,9.02,0.00,0.00
384.51,0.00,0.00,8.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,38.82,22.77,30.62,0.00,0.00
395.32,0.00,0.00,6.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.44,12.94,15.62,0.00,0.00
400.00,0.00,0.00,6.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.40,15.65,18.59,0.00,0.00
